iteration,idxS,idxE,S,E,P,overlap,overlap_score,overlap_density,real_overlap
292,4,35,001000,011010,010010,0-10-0,4,0.6666666666666666,False
293,4,36,001000,110100,111100,----00,2,0.3333333333333333,False
294,4,37,001000,101001,100001,-0100-,4,0.6666666666666666,False
295,4,38,001000,010011,011011,0--0--,2,0.3333333333333333,False
296,4,39,001000,100111,101111,-0----,1,0.16666666666666666,False
297,4,40,001000,001111,000111,001---,3,0.5,False
298,4,41,001000,011110,010110,0-1--0,3,0.5,False
299,4,42,001000,111101,110101,--1-0-,2,0.3333333333333333,False
300,4,43,001000,111010,110010,--10-0,3,0.5,False
301,4,44,001000,110101,111101,----0-,1,0.16666666666666666,False
302,4,45,001000,101010,100010,-010-0,4,0.6666666666666666,False
303,4,46,001000,010101,011101,0---0-,2,0.3333333333333333,False
304,4,47,001000,101011,100011,-010--,3,0.5,False
305,4,48,001000,010111,011111,0-----,1,0.16666666666666666,False
306,4,49,001000,101110,100110,-01--0,3,0.5,False
307,4,50,001000,011101,010101,0-1-0-,3,0.5,False
308,4,51,001000,111011,110011,--10--,2,0.3333333333333333,False
309,4,52,001000,110110,111110,-----0,1,0.16666666666666666,False
310,4,53,001000,101101,100101,-01-0-,3,0.5,False
311,4,54,001000,011011,010011,0-10--,3,0.5,False
312,4,55,001000,110111,111111,------,0,0.0,False
313,4,56,001000,101111,100111,-01---,2,0.3333333333333333,False
314,4,57,001000,011111,010111,0-1---,2,0.3333333333333333,False
315,4,58,001000,111111,110111,--1---,1,0.16666666666666666,False
316,4,59,001000,111110,110110,--1--0,2,0.3333333333333333,False
317,4,60,001000,111100,110100,--1-00,3,0.5,False
318,4,61,001000,111000,110000,--1000,4,0.6666666666666666,False
319,4,62,001000,110000,111000,---000,3,0.5,False
320,4,63,001000,100000,101000,-0-000,4,0.6666666666666666,False
321,5,0,010000,000000,010000,0-0000,5,0.8333333333333334,False
322,5,1,010000,000001,010001,0-000-,4,0.6666666666666666,False
323,5,2,010000,000010,010010,0-00-0,4,0.6666666666666666,False
324,5,3,010000,000100,010100,0-0-00,4,0.6666666666666666,False
325,5,4,010000,001000,011000,0--000,4,0.6666666666666666,False
326,5,5,010000,010000,000000,010000,6,1.0,False
327,5,6,010000,100001,110001,--000-,3,0.5,False
328,5,7,010000,000011,010011,0-00--,3,0.5,False
329,5,8,010000,000110,010110,0-0--0,3,0.5,False
330,5,9,010000,001100,011100,0---00,3,0.5,False
331,5,10,010000,011000,001000,01-000,5,0.8333333333333334,False
332,5,11,010000,110001,100001,-1000-,4,0.6666666666666666,False
333,5,12,010000,100010,110010,--00-0,3,0.5,False
334,5,13,010000,000101,010101,0-0-0-,3,0.5,False
